role,eodhd_symbol,ticker,status,row_count,start_date,end_date,error,finished_utc
stock,AERT.US,AERT,ok,1091,1995-01-01,2026-04-24,,2026-04-28T19:57:41Z
stock,AES.US,AES,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:42Z
stock,AESI.US,AESI,ok,785,1995-01-01,2026-04-24,,2026-04-28T19:57:43Z
stock,AEVA.US,AEVA,ok,1548,1995-01-01,2026-04-24,,2026-04-28T19:57:43Z
stock,AEXA.US,AEXA,ok,145,1995-01-01,2026-04-24,,2026-04-28T19:57:44Z
stock,AEYE.US,AEYE,ok,3200,1995-01-01,2026-04-24,,2026-04-28T19:57:45Z
stock,AFBI.US,AFBI,ok,1300,1995-01-01,2026-04-24,,2026-04-28T19:57:45Z
stock,AFCG.US,AFCG,ok,1281,1995-01-01,2026-04-24,,2026-04-28T19:57:46Z
stock,AFG.US,AFG,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:47Z
stock,AFGE.US,AFGE,ok,1375,1995-01-01,2026-04-24,,2026-04-28T19:57:48Z
stock,AFJK.US,AFJK,ok,566,1995-01-01,2026-04-24,,2026-04-28T19:57:48Z
stock,AFL.US,AFL,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:50Z
context,SPY.US,SPY,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:54Z
context,XLB.US,XLB,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:57:55Z
context,XLC.US,XLC,ok,1973,1995-01-01,2026-04-24,,2026-04-28T19:57:56Z
context,XLE.US,XLE,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:57:57Z
context,XLF.US,XLF,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:57:58Z
context,XLI.US,XLI,ok,6875,1995-01-01,2026-04-24,,2026-04-28T19:58:00Z
context,XLK.US,XLK,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:58:01Z
context,XLP.US,XLP,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:58:02Z
context,XLRE.US,XLRE,ok,2651,1995-01-01,2026-04-24,,2026-04-28T19:58:03Z
context,XLU.US,XLU,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:58:05Z
context,XLV.US,XLV,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:58:06Z
context,XLY.US,XLY,ok,6876,1995-01-01,2026-04-24,,2026-04-28T19:58:07Z
